old_identifier,new_identifier
AI_PLC1_Khuay_Bon1_Xong,PLC1_Khuay_Bon1_Xong
AI_PLC1_Khuay_Bon1_Xong_HMI,PLC1_Khuay_Bon1_Xong_HMI
AI_PLC1_Khuay_Nghich_Bon2_Xong,PLC1_Khuay_Nghich_Bon2_Xong
AI_PLC1_Khuay_Nghich_Bon2_Xong_HMI,PLC1_Khuay_Nghich_Bon2_Xong_HMI
AI_PLC1_Khuay_Thuan_Bon2_Xong,PLC1_Khuay_Thuan_Bon2_Xong
AI_PLC1_Khuay_Thuan_Bon2_Xong_HMI,PLC1_Khuay_Thuan_Bon2_Xong_HMI
AI_PLC1_Load_Default_Cmd,PLC1_Load_Default_Cmd
AI_PLC1_Load_Default_Cmd_Edge,PLC1_Load_Default_Cmd_Edge
AI_PLC1_Load_Default_Cmd_M,PLC1_Load_Default_Cmd_M
AI_PLC1_Load_Default_Cmd_Old,PLC1_Load_Default_Cmd_Old
AI_PLC1_Load_Default_Done_Nhan,PLC1_Load_Default_Done_Nhan
AI_PLC1_Load_Default_Done_Nhan_Eff,PLC1_Load_Default_Done_Nhan_Eff
AI_PLC1_Load_Default_Done_Nhan_HMI,PLC1_Load_Default_Done_Nhan_HMI
AI_PLC1_Load_Default_Done_Nhan_HMI_Gated,PLC1_Load_Default_Done_Nhan_HMI_Gated
AI_PLC1_Loi_Dosing,PLC1_Loi_Dosing
AI_PLC1_Loi_Dry_Run,PLC1_Loi_Dry_Run
AI_PLC1_Loi_Setpoint,PLC1_Loi_Setpoint
AI_PLC1_Loi_Tong,PLC1_Loi_Tong
AI_PLC1_Loi_Truyen_Thong,PLC1_Loi_Truyen_Thong
AI_PLC1_Me_Nhanh1_Hoan_Thanh,PLC1_Me_Nhanh1_Hoan_Thanh
AI_PLC1_SP_Valid,PLC1_SP_Valid
AI_PLC1_Start_Edge_Edge,PLC1_Start_Edge_Edge
AI_PLC1_Start_Edge_Old,PLC1_Start_Edge_Old
AI_PLC1_State,PLC1_State
AI_PLC1_Step_Bon1_Dosing,PLC1_Step_Bon1_Dosing
AI_PLC1_Step_Bon1_Khuay,PLC1_Step_Bon1_Khuay
AI_PLC1_Step_Bon1_Tip,PLC1_Step_Bon1_Tip
AI_PLC1_Step_Bon1_Xa,PLC1_Step_Bon1_Xa
AI_PLC1_Step_Bon2_Dosing,PLC1_Step_Bon2_Dosing
AI_PLC1_Step_Bon2_Khuay_Nghich,PLC1_Step_Bon2_Khuay_Nghich
AI_PLC1_Step_Bon2_Khuay_Thuan,PLC1_Step_Bon2_Khuay_Thuan
AI_PLC1_Step_Bon2_PID,PLC1_Step_Bon2_PID
AI_PLC1_Step_Bon2_Thanh_Trung,PLC1_Step_Bon2_Thanh_Trung
AI_PLC1_Step_Bon2_Tip,PLC1_Step_Bon2_Tip
AI_PLC1_Stop_Active,PLC1_Stop_Active
